"","ensembl_gene_id","gene_id","C481","LC03","LC01","RC02","R02","R03","RC03","hgnc_symbol"
"850","ENSG00000095261","ENSG00000095261.13",164,1386,0.21,122,321,2625,80,"PSMD5"
"851","ENSG00000095380","ENSG00000095380.10",17,252,223,42,286,867,21,"NANS"
"852","ENSG00000095564","ENSG00000095564.13",2.1,408,86,35,678,277,25,"BTAF1"
"853","ENSG00000095574","ENSG00000095574.11",1259,409,483,1.7,336,9.6,86,"IKZF5"
"854","ENSG00000095585","ENSG00000095585.16",1.9,0.45,0.61,0.34,7.2,0.71,0.94,"BLNK"
"855","ENSG00000095787","ENSG00000095787.21",1818,5713,1185,1238,812,781,399,"WAC"
"856","ENSG00000095794","ENSG00000095794.19",7369,9794,16924,5383,18622,5987,15573,"CREM"
"857","ENSG00000095906","ENSG00000095906.16",169,1.8,0.58,231,173,0.097,0.45,"NUBP2"
"858","ENSG00000095951","ENSG00000095951.16",590,397,582,1485,807,0.097,8.4,"HIVEP1"
"859","ENSG00000096060","ENSG00000096060.14",1318,944,486,1034,350,5128,254,"FKBP5"
"860","ENSG00000096063","ENSG00000096063.15",28,440,803,15,483,2268,0.52,"SRPK1"
"861","ENSG00000096092","ENSG00000096092.5",505,1000,11,0.034,290,899,2528,"TMEM14A"
"862","ENSG00000096384","ENSG00000096384.19",7564,14749,9804,6676,5057,6320,3096,"HSP90AB1"
"863","ENSG00000096401","ENSG00000096401.7",181,1444,1174,766,1708,1198,6.1,"CDC5L"
"864","ENSG00000096717","ENSG00000096717.11",0.079,1.4,2.5,17,31,0.065,0.097,"SIRT1"
"865","ENSG00000096746","ENSG00000096746.17",509,309,334,1556,694,632,541,"HNRNPH3"
"866","ENSG00000096872","ENSG00000096872.15",234,0.25,444,0.069,105,0.065,0.13,"IFT74"
"867","ENSG00000097007","ENSG00000097007.17",0.026,0.05,0.18,0.069,17,0.26,70,"ABL1"
"868","ENSG00000097033","ENSG00000097033.14",1130,1976,882,126,726,31,520,"SH3GLB1"
"869","ENSG00000099194","ENSG00000099194.5",0.026,787,8.1,43,67,0.29,6.3,"SCD"
"870","ENSG00000099204","ENSG00000099204.18",2218,558,314,844,566,245,285,"ABLIM1"
"871","ENSG00000099246","ENSG00000099246.16",90,1.1,1891,34,602,2282,125,"RAB18"
"872","ENSG00000099290","ENSG00000099290.15",15,0.45,86,751,414,5,1.4,"WASHC2A"
"873","ENSG00000099308","ENSG00000099308.10",164,353,23,0.15,119,0.32,1320,"MAST3"
"874","ENSG00000099331","ENSG00000099331.13",475,45,23,12,221,4.8,39,"MYO9B"
"875","ENSG00000099337","ENSG00000099337.4",0.11,116,0.11,19,80,0.45,5,"KCNK6"
"876","ENSG00000099341","ENSG00000099341.11",1507,3744,333,201,1110,1280,679,"PSMD8"
"877","ENSG00000099385","ENSG00000099385.11",0.026,0.5,171,1,2.3,167,931,"BCL7C"
"878","ENSG00000099622","ENSG00000099622.13",1144,16,192,0.28,246,706,759,"CIRBP"
"879","ENSG00000099624","ENSG00000099624.7",455,0.05,197,245,461,0.032,673,"ATP5F1D"
"880","ENSG00000099783","ENSG00000099783.11",1467,4427,1119,531,2028,870,1105,"HNRNPM"
"881","ENSG00000099785","ENSG00000099785.10",15,48,82,43,62,75,225,"MARCHF2"
"882","ENSG00000099795","ENSG00000099795.6",225,1248,467,0.38,880,425,4.4,"NDUFB7"
"883","ENSG00000099797","ENSG00000099797.13",1045,1.2,1069,2,509,202,230,"TECR"
"884","ENSG00000099800","ENSG00000099800.7",166,22,232,0.034,136,155,867,"TIMM13"
"885","ENSG00000099817","ENSG00000099817.11",1040,1417,666,0.38,634,15,2.3,"POLR2E"
"886","ENSG00000099821","ENSG00000099821.13",0.026,0.05,103,4.1,0.5,3.5,0.032,"POLRMT"
"887","ENSG00000099860","ENSG00000099860.8",265,7.4,193,3.8,227,0.87,1.2,"GADD45B"
"888","ENSG00000099875","ENSG00000099875.14",48,150,356,136,385,558,89,"MKNK2"
"889","ENSG00000099901","ENSG00000099901.16",932,3272,238,1497,832,1062,1361,"RANBP1"
"890","ENSG00000099917","ENSG00000099917.17",355,12,324,166,155,886,714,"MED15"
"891","ENSG00000099940","ENSG00000099940.11",0.89,0.35,41,16,74,0.45,18,"SNAP29"
"892","ENSG00000099942","ENSG00000099942.12",1106,503,610,774,299,183,483,"CRKL"
"893","ENSG00000099956","ENSG00000099956.18",179,0.65,110,40,109,0.032,0.065,"SMARCB1"
"894","ENSG00000099958","ENSG00000099958.14",0.55,12,16,0.72,4.1,2.7,0.065,"DERL3"
"895","ENSG00000099968","ENSG00000099968.17",0.79,0.15,320,0.034,34,0.032,577,"BCL2L13"
"896","ENSG00000099974","ENSG00000099974.7",3.6,1.9,2.2,0.034,2.7,0.78,0.35,"DDTL"
"897","ENSG00000099977","ENSG00000099977.13",287,276,270,1.6,238,74,17,"DDT"
"898","ENSG00000099985","ENSG00000099985.3",7.4,0.1,0.035,0.34,17,0.16,143,"OSM"
"899","ENSG00000099991","ENSG00000099991.17",145,0.05,253,171,16,0.55,44,"CABIN1"
"900","ENSG00000099995","ENSG00000099995.18",177,12,863,147,311,85,659,"SF3A1"
"901","ENSG00000100014","ENSG00000100014.19",159,666,29,1071,43,0.23,0.58,"SPECC1L"
"902","ENSG00000100023","ENSG00000100023.18",0.24,0.15,46,0.1,107,0.065,1.5,"PPIL2"
"903","ENSG00000100028","ENSG00000100028.11",285,1941,461,810,807,375,605,"SNRPD3"
"904","ENSG00000100029","ENSG00000100029.17",29,0.05,5.7,0.034,86,1.8,104,"PES1"
"905","ENSG00000100030","ENSG00000100030.14",254,1456,189,89,35,0.68,0.71,"MAPK1"
"906","ENSG00000100058","ENSG00000100058.12",0.53,596,93,0.14,102,216,1.3,"CRYBB2P1"
"907","ENSG00000100075","ENSG00000100075.9",1.1,1.4,40,0.034,130,138,0.29,"SLC25A1"
"908","ENSG00000100097","ENSG00000100097.11",1209,1256,6731,2901,524,1605,1396,"LGALS1"
"909","ENSG00000100100","ENSG00000100100.12",1382,1260,431,360,1952,4.2,16,"PIK3IP1"
"910","ENSG00000100106","ENSG00000100106.19",3.1,35,19,68,39,0.032,2.3,"TRIOBP"
"911","ENSG00000100129","ENSG00000100129.17",293,1037,685,1122,1012,2579,666,"EIF3L"
"912","ENSG00000100138","ENSG00000100138.13",1861,272,1823,579,1354,1396,1358,"SNU13"
"913","ENSG00000100142","ENSG00000100142.14",558,486,639,646,411,17,838,"POLR2F"
"914","ENSG00000100162","ENSG00000100162.14",252,1816,21,0.034,132,0.26,238,"CENPM"
"915","ENSG00000100201","ENSG00000100201.20",1945,860,2201,1273,2100,17,937,"DDX17"
"916","ENSG00000100207","ENSG00000100207.18",2.1,32,173,213,126,205,0.52,"TCF20"
"917","ENSG00000100216","ENSG00000100216.5",206,246,120,392,467,154,1283,"TOMM22"
"918","ENSG00000100219","ENSG00000100219.16",702,448,51,7.6,408,9.1,19,"XBP1"
"919","ENSG00000100220","ENSG00000100220.11",421,564,325,481,523,1192,0.71,"RTCB"
"920","ENSG00000100221","ENSG00000100221.10",508,872,479,836,864,0.94,552,"JOSD1"
"921","ENSG00000100225","ENSG00000100225.17",1532,508,2490,0.21,1131,0.55,1106,"FBXO7"
"922","ENSG00000100226","ENSG00000100226.15",0.74,0.5,541,23,283,0.29,0.74,"GTPBP1"
"923","ENSG00000100227","ENSG00000100227.17",626,5.7,276,197,31,0.23,0.23,"POLDIP3"
"924","ENSG00000100242","ENSG00000100242.15",0.29,0.16,102,181,77,0.032,303,"SUN2"
"925","ENSG00000100243","ENSG00000100243.20",267,0.35,0.25,70,179,0.097,1,"CYB5R3"
"926","ENSG00000100266","ENSG00000100266.18",185,0.3,337,0.21,100,0.19,0.16,"PACSIN2"
"927","ENSG00000100281","ENSG00000100281.13",1.9,22,479,272,466,776,1.1,"HMGXB4"
"928","ENSG00000100297","ENSG00000100297.15",193,488,88,96,92,8,1.8,"MCM5"
"929","ENSG00000100298","ENSG00000100298.15",1.3,1588,237,0.034,157,85,0.68,"APOBEC3H"
"930","ENSG00000100299","ENSG00000100299.17",2.6,105,82,0.28,39,0.032,0.52,"ARSA"
"931","ENSG00000100300","ENSG00000100300.17",567,264,418,62,878,501,855,"TSPO"
"932","ENSG00000100307","ENSG00000100307.12",340,13,56,0.034,10,0.032,160,"CBX7"
"933","ENSG00000100316","ENSG00000100316.15",6683,11061,11811,7392,12828,10523,4657,"RPL3"
"934","ENSG00000100342","ENSG00000100342.20",0.61,0.1,199,0.034,82,0.032,211,"APOL1"
"935","ENSG00000100345","ENSG00000100345.20",1280,1046,1394,547,918,201,385,"MYH9"
"936","ENSG00000100348","ENSG00000100348.9",268,2445,319,0.1,300,1944,964,"TXN2"
"937","ENSG00000100350","ENSG00000100350.14",0.16,0.15,16,0.034,73,0.065,16,"FOXRED2"
"938","ENSG00000100351","ENSG00000100351.16",187,436,231,361,118,0.32,1019,"GRAP2"
"939","ENSG00000100353","ENSG00000100353.17",766,451,413,602,583,416,939,"EIF3D"
"940","ENSG00000100354","ENSG00000100354.20",3301,4147,2397,1837,2194,1870,5630,"TNRC6B"
"941","ENSG00000100365","ENSG00000100365.14",291,777,584,0.17,192,366,481,"NCF4"
"942","ENSG00000100368","ENSG00000100368.13",0.21,0.1,426,0.38,0.028,0.29,0.097,"CSF2RB"
"943","ENSG00000100380","ENSG00000100380.13",1149,201,1625,555,1452,342,1698,"ST13"
"944","ENSG00000100385","ENSG00000100385.13",1294,3258,2545,476,469,1202,1262,"IL2RB"
"945","ENSG00000100387","ENSG00000100387.8",1222,1734,1782,889,1179,1889,919,"RBX1"
"946","ENSG00000100393","ENSG00000100393.12",401,618,320,1.8,438,1567,621,"EP300"
"947","ENSG00000100401","ENSG00000100401.19",172,11,406,0.17,219,1.3,141,"RANGAP1"
"948","ENSG00000100412","ENSG00000100412.15",92,878,4.9,3.1,127,0.065,257,"ACO2"
"949","ENSG00000100418","ENSG00000100418.7",0.37,0.05,108,53,2.1,0.032,0.81,"DESI1"
"950","ENSG00000100422","ENSG00000100422.13",1834,646,177,201,1338,1339,985,"CERK"
"951","ENSG00000100425","ENSG00000100425.18",9.8,104,345,660,164,862,446,"BRD1"
"952","ENSG00000100426","ENSG00000100426.6",34,16,222,1.2,182,971,1.2,"ZBED4"
"953","ENSG00000100442","ENSG00000100442.10",589,3398,608,84,674,402,204,"FKBP3"
"954","ENSG00000100445","ENSG00000100445.17",112,144,296,42,49,0.032,316,"SDR39U1"
"955","ENSG00000100450","ENSG00000100450.12",1.3,1252,914,55,9,0.29,1087,"GZMH"
"956","ENSG00000100453","ENSG00000100453.12",925,8420,11767,250,4702,5323,12216,"GZMB"
"957","ENSG00000100461","ENSG00000100461.17",254,528,488,361,230,202,536,"RBM23"
"958","ENSG00000100473","ENSG00000100473.15",258,11,4.4,1.9,1.5,3.6,5.6,"COCH"
"959","ENSG00000100485","ENSG00000100485.11",69,1412,0.12,1.5,90,8.4,0.13,"SOS2"
"960","ENSG00000100503","ENSG00000100503.23",1354,572,356,883,450,1.1,123,"NIN"
"961","ENSG00000100519","ENSG00000100519.11",588,611,625,77,611,254,1646,"PSMC6"
"962","ENSG00000100523","ENSG00000100523.14",1498,1131,1959,2422,578,7.3,744,"DDHD1"
"963","ENSG00000100526","ENSG00000100526.19",244,26,1,98,1.7,0.13,1052,"CDKN3"
"964","ENSG00000100528","ENSG00000100528.11",1276,2755,555,423,149,1.2,715,"CNIH1"
"965","ENSG00000100532","ENSG00000100532.11",236,0.25,230,0.59,347,330,442,"CGRRF1"
"966","ENSG00000100554","ENSG00000100554.11",1172,733,134,0.28,518,9.8,906,"ATP6V1D"
"967","ENSG00000100564","ENSG00000100564.8",1.2,0.1,190,21,160,0.065,1423,"PIGH"
"968","ENSG00000100567","ENSG00000100567.12",417,560,3.4,442,766,1768,305,"PSMA3"
"969","ENSG00000100568","ENSG00000100568.10",804,234,690,695,346,169,2.9,"VTI1B"
"970","ENSG00000100577","ENSG00000100577.18",0.21,1.8,541,0.21,16,0.032,0.065,"GSTZ1"
"971","ENSG00000100591","ENSG00000100591.7",754,1102,413,299,343,574,821,"AHSA1"
"972","ENSG00000100592","ENSG00000100592.15",511,5.1,45,8.9,108,947,438,"DAAM1"
"973","ENSG00000100596","ENSG00000100596.6",283,101,452,34,49,0.097,0.16,"SPTLC2"
"974","ENSG00000100600","ENSG00000100600.14",453,0.5,10,0.72,449,25,402,"LGMN"
"975","ENSG00000100603","ENSG00000100603.13",660,580,1257,445,837,76,4434,"SNW1"
"976","ENSG00000100612","ENSG00000100612.13",663,1541,1441,233,1226,1835,849,"DHRS7"
"977","ENSG00000100614","ENSG00000100614.17",1230,2599,551,350,656,2422,1939,"PPM1A"
"978","ENSG00000100628","ENSG00000100628.11",531,173,10,314,671,197,954,"ASB2"
"979","ENSG00000100632","ENSG00000100632.10",387,384,332,201,127,22,414,"ERH"
"980","ENSG00000100644","ENSG00000100644.16",2624,839,2799,951,1667,1435,633,"HIF1A"
"981","ENSG00000100647","ENSG00000100647.7",2215,684,904,892,2693,566,2929,"SUSD6"
"982","ENSG00000100650","ENSG00000100650.15",2753,3425,6930,577,3224,973,3023,"SRSF5"
"983","ENSG00000100664","ENSG00000100664.10",6340,5858,3632,2449,4136,3516,4703,"EIF5"
"984","ENSG00000100697","ENSG00000100697.14",446,136,93,501,274,393,1.5,"DICER1"
"985","ENSG00000100714","ENSG00000100714.15",318,26,17,0.14,91,0.61,1018,"MTHFD1"
"986","ENSG00000100722","ENSG00000100722.18",197,42,86,0.069,349,0.3,0.71,"ZC3H14"
"987","ENSG00000100731","ENSG00000100731.15",37,606,15,533,160,1.1,0.55,"PCNX1"
"988","ENSG00000100744","ENSG00000100744.14",655,25,30,198,402,137,0.52,"GSKIP"
"989","ENSG00000100749","ENSG00000100749.7",0.66,11,381,238,362,0.26,0.16,"VRK1"
"990","ENSG00000100764","ENSG00000100764.13",942,830,1095,72,817,2459,749,"PSMC1"
"991","ENSG00000100796","ENSG00000100796.17",1085,1575,1274,646,988,1653,1272,"PPP4R3A"
"992","ENSG00000100804","ENSG00000100804.18",391,519,515,221,554,513,1420,"PSMB5"
"993","ENSG00000100811","ENSG00000100811.12",727,1141,832,913,1014,2012,784,"YY1"
"994","ENSG00000100813","ENSG00000100813.14",1094,455,1164,310,1361,273,620,"ACIN1"
"995","ENSG00000100815","ENSG00000100815.12",440,3,97,720,449,346,217,"TRIP11"
"996","ENSG00000100823","ENSG00000100823.11",437,2439,0.18,0.86,452,1174,14,"APEX1"
"997","ENSG00000100836","ENSG00000100836.10",156,51,129,62,86,348,1.8,"PABPN1"
"998","ENSG00000100852","ENSG00000100852.12",364,0.35,256,13,29,1.6,1.9,"ARHGAP5"
"999","ENSG00000100865","ENSG00000100865.14",222,0.2,119,0.034,86,0.032,0.71,"CINP"
"1000","ENSG00000100883","ENSG00000100883.11",975,69,692,451,465,420,177,"SRP54"
"1001","ENSG00000100888","ENSG00000100888.12",236,95,30,14,226,119,220,"CHD8"
"1002","ENSG00000100890","ENSG00000100890.15",258,254,430,20,98,698,0.34,"PRORP"
"1003","ENSG00000100902","ENSG00000100902.10",1711,3390,4374,2812,1485,4161,3482,"PSMA6"
"1004","ENSG00000100906","ENSG00000100906.10",2052,4486,10857,1008,10236,5347,474,"NFKBIA"
"1005","ENSG00000100911","ENSG00000100911.15",4946,7067,8598,3664,6615,2505,6186,"PSME2"
"1006","ENSG00000100916","ENSG00000100916.13",0.079,2.1,0.11,4,250,0.84,1.4,"BRMS1L"
"1007","ENSG00000100926","ENSG00000100926.14",1.6,908,26,233,44,3.2,0.74,"TM9SF1"
"1008","ENSG00000100934","ENSG00000100934.14",539,3.3,140,121,166,0.16,617,"SEC23A"
"1009","ENSG00000100938","ENSG00000100938.17",860,0.4,409,328,59,0.065,0.065,"GMPR2"
"1010","ENSG00000100941","ENSG00000100941.8",598,761,830,75,1098,286,1684,"PNN"
"1011","ENSG00000100979","ENSG00000100979.14",0.68,9.3,2.5,0.51,0.92,0.13,2.1,"PLTP"
"1012","ENSG00000100982","ENSG00000100982.11",77,355,422,4,435,563,219,"PCIF1"
"1013","ENSG00000101017","ENSG00000101017.13",3.6,70,0.47,9.8,75,1.6,0.29,"CD40"
"1014","ENSG00000101040","ENSG00000101040.19",65,29,148,116,112,0.94,232,"ZMYND8"
"1015","ENSG00000101082","ENSG00000101082.13",487,209,174,0.034,271,0.045,743,"SLA2"
"1016","ENSG00000101084","ENSG00000101084.17",107,482,1350,1.8,542,0.83,578,"RAB5IF"
"1017","ENSG00000101096","ENSG00000101096.19",882,196,705,2402,667,862,239,"NFATC2"
"1018","ENSG00000101109","ENSG00000101109.11",3804,1781,1853,918,3611,2599,2926,"STK4"
"1019","ENSG00000101126","ENSG00000101126.15",334,4283,967,2598,1320,2723,7682,"ADNP"
"1020","ENSG00000101132","ENSG00000101132.9",517,163,1251,388,139,174,506,"PFDN4"
"1021","ENSG00000101138","ENSG00000101138.11",0.42,3,1100,1.5,63,232,1604,"CSTF1"
"1022","ENSG00000101150","ENSG00000101150.17",402,15,0.12,154,162,0.097,208,"TPD52L2"
"1023","ENSG00000101152","ENSG00000101152.10",0.42,36,100,240,137,0.032,0.065,"DNAJC5"
"1024","ENSG00000101158","ENSG00000101158.13",219,117,425,62,139,51,711,"NELFCD"
"1025","ENSG00000101161","ENSG00000101161.7",225,2.5,508,2.5,358,0.097,1.8,"PRPF6"
"1026","ENSG00000101166","ENSG00000101166.15",1746,1355,1726,365,1497,1223,2302,"PRELID3B"
"1027","ENSG00000101182","ENSG00000101182.14",3963,4019,6325,796,3087,2286,980,"PSMA7"
"1028","ENSG00000101191","ENSG00000101191.16",0.58,312,30,238,193,0.71,0.32,"DIDO1"
"1029","ENSG00000101193","ENSG00000101193.7",257,658,168,126,371,17,1655,"GID8"
"1030","ENSG00000101220","ENSG00000101220.17",0.37,376,0.11,0.034,83,0.065,0.032,"C20orf27"
"1031","ENSG00000101236","ENSG00000101236.16",351,0.55,358,2.6,217,0.097,219,"RNF24"
"1032","ENSG00000101265","ENSG00000101265.15",637,0.25,80,443,181,930,0.48,"RASSF2"
"1033","ENSG00000101266","ENSG00000101266.17",415,620,287,0.76,489,1,1275,"CSNK2A1"
"1034","ENSG00000101290","ENSG00000101290.13",868,3315,412,288,630,797,1236,"CDS2"
"1035","ENSG00000101294","ENSG00000101294.16",632,1497,573,39,90,172,112,"HM13"
"1036","ENSG00000101337","ENSG00000101337.15",57,1.8,124,161,3.4,0.23,952,"TM9SF4"
"1037","ENSG00000101343","ENSG00000101343.14",469,371,120,772,170,33,0.52,"CRNKL1"
"1038","ENSG00000101347","ENSG00000101347.8",548,250,428,11,367,880,1369,"SAMHD1"
"1039","ENSG00000101350","ENSG00000101350.7",70,1,0.19,405,107,0.23,0.52,"KIF3B"
"1040","ENSG00000101361","ENSG00000101361.16",762,1234,225,232,1099,1111,161,"NOP56"
"1041","ENSG00000101365","ENSG00000101365.20",166,152,526,27,279,0.39,384,"IDH3B"
"1042","ENSG00000101367","ENSG00000101367.8",1563,91,2504,926,855,491,1.8,"MAPRE1"
"1043","ENSG00000101391","ENSG00000101391.20",188,0.5,233,0.9,88,0.032,0.68,"CDK5RAP1"
"1044","ENSG00000101439","ENSG00000101439.8",0.13,2.8,0.25,0.62,25,1.4,23,"CST3"
"1045","ENSG00000101445","ENSG00000101445.9",1197,882,1549,180,1975,757,155,"PPP1R16B"
"1046","ENSG00000101474","ENSG00000101474.11",1977,0.1,307,294,280,102,20,"APMAP"
"1047","ENSG00000101493","ENSG00000101493.10",0.11,0.15,0.018,0.55,12,0.097,0.74,"ZNF516"
"1048","ENSG00000101544","ENSG00000101544.8",0.21,1.4,58,0.034,427,763,66,"ADNP2"
"1049","ENSG00000101557","ENSG00000101557.14",659,396,0.72,16,348,0.42,1332,"USP14"
"1050","ENSG00000101558","ENSG00000101558.13",2908,838,1780,984,1812,3910,3044,"VAPA"
"1051","ENSG00000101577","ENSG00000101577.9",415,663,872,14,1758,171,411,"LPIN2"
"1052","ENSG00000101596","ENSG00000101596.14",1014,2357,2106,907,1371,1723,1317,"SMCHD1"
"1053","ENSG00000101608","ENSG00000101608.12",4886,7186,9876,5603,5901,3569,7916,"MYL12A"
"1054","ENSG00000101639","ENSG00000101639.18",50,47,0.035,174,40,0.16,279,"CEP192"
"1055","ENSG00000101654","ENSG00000101654.17",150,4169,636,667,862,6.8,2.3,"RNMT"
"1056","ENSG00000101695","ENSG00000101695.8",35,37,135,2,158,123,628,"RNF125"
"1057","ENSG00000101745","ENSG00000101745.16",1895,10887,5457,3542,5436,3391,1767,"ANKRD12"
"1058","ENSG00000101752","ENSG00000101752.11",224,230,412,332,148,7.1,0.42,"MIB1"
"1059","ENSG00000101773","ENSG00000101773.18",93,2.8,577,57,263,1605,0.84,"RBBP8"
"1060","ENSG00000101782","ENSG00000101782.14",762,395,501,26,598,56,2.3,"RIOK3"
"1061","ENSG00000101843","ENSG00000101843.18",205,0.3,315,1020,163,0.39,473,"PSMD10"
"1062","ENSG00000101849","ENSG00000101849.15",418,2944,272,48,198,0.065,298,"TBL1X"
"1063","ENSG00000101856","ENSG00000101856.9",171,334,0.75,0.14,149,0.35,1.4,"PGRMC1"
"1064","ENSG00000101882","ENSG00000101882.9",188,0.1,135,64,72,1151,897,"NKAP"
"1065","ENSG00000101901","ENSG00000101901.11",305,378,593,395,343,402,1.9,"ALG13"
"1066","ENSG00000101911","ENSG00000101911.12",3,7.1,846,1434,755,1643,1397,"PRPS2"
"1067","ENSG00000101966","ENSG00000101966.12",2.5,1091,0.79,40,368,0.45,988,"XIAP"
"1068","ENSG00000101972","ENSG00000101972.18",371,2518,936,1060,1603,490,2189,"STAG2"
"1069","ENSG00000101974","ENSG00000101974.14",0.66,470,1,0.41,128,0.097,453,"ATP11C"
"1070","ENSG00000102007","ENSG00000102007.10",1276,185,536,0.14,595,18,0.45,"PLP2"
"1071","ENSG00000102030","ENSG00000102030.15",7.6,74,785,0.17,68,442,0.87,"NAA10"
"1072","ENSG00000102034","ENSG00000102034.16",0.053,0.05,272,13,0.014,146,14,"ELF4"
"1073","ENSG00000102054","ENSG00000102054.17",2036,351,3530,752,525,197,666,"RBBP7"
"1074","ENSG00000102081","ENSG00000102081.13",532,0.7,1219,0.24,218,0.26,340,"FMR1"
"1075","ENSG00000102096","ENSG00000102096.9",5835,15635,4454,5776,4081,7103,11356,"PIM2"
"1076","ENSG00000102103","ENSG00000102103.15",6.7,597,131,80,456,0.19,1298,"PQBP1"
"1077","ENSG00000102144","ENSG00000102144.13",3118,2589,4266,1214,3764,4118,3598,"PGK1"
"1078","ENSG00000102158","ENSG00000102158.19",67,274,82,28,708,5.7,592,"MAGT1"
"1079","ENSG00000102172","ENSG00000102172.15",219,642,145,487,703,399,138,"SMS"
"1080","ENSG00000102189","ENSG00000102189.16",332,352,363,187,403,686,901,"EEA1"
"1081","ENSG00000102226","ENSG00000102226.9",711,142,735,119,161,0.77,102,"USP11"
"1082","ENSG00000102241","ENSG00000102241.11",461,14,876,198,223,488,56,"HTATSF1"
"1083","ENSG00000102265","ENSG00000102265.11",51,1.6,14,0.93,298,409,1.1,"TIMP1"
"1084","ENSG00000102309","ENSG00000102309.12",67,0.1,67,225,125,485,141,"PIN4"
"1085","ENSG00000102316","ENSG00000102316.16",1516,87,564,0.24,141,0.032,397,"MAGED2"
"1086","ENSG00000102317","ENSG00000102317.17",1778,1054,1198,460,1848,1605,739,"RBM3"
"1087","ENSG00000102390","ENSG00000102390.10",758,497,1697,457,465,1373,261,"PBDC1"
"1088","ENSG00000102393","ENSG00000102393.9",1.6,479,624,47,148,0.94,2,"GLA"
"1089","ENSG00000102401","ENSG00000102401.19",563,503,861,156,234,17,1,"ARMCX3"
"1090","ENSG00000102524","ENSG00000102524.11",1218,1.1,68,205,530,0.48,0.97,"TNFSF13B"
"1091","ENSG00000102531","ENSG00000102531.16",881,14,102,0.24,147,136,1257,"FNDC3A"
"1092","ENSG00000102572","ENSG00000102572.14",327,28,1119,42,706,672,388,"STK24"
"1093","ENSG00000102580","ENSG00000102580.14",3339,8401,3438,1059,3208,5168,9316,"DNAJC3"
"1094","ENSG00000102606","ENSG00000102606.17",144,598,168,165,731,15,1502,"ARHGEF7"
"1095","ENSG00000102699","ENSG00000102699.5",366,1635,23,619,225,177,2.7,"PARP4"
"1096","ENSG00000102738","ENSG00000102738.7",5.6,0.05,2.6,15,172,0.13,719,"MRPS31"
"1097","ENSG00000102753","ENSG00000102753.9",516,0.15,732,33,623,1.3,16,"KPNA3"
"1098","ENSG00000102760","ENSG00000102760.12",223,255,678,4.8,1086,0.71,45,"RGCC"
"1099","ENSG00000102763","ENSG00000102763.17",6.9,0.1,356,0.28,139,0.032,0.45,"VWA8"
"1100","ENSG00000102780","ENSG00000102780.16",0.11,1.1,85,10,8.6,0.065,273,"DGKH"
"1101","ENSG00000102786","ENSG00000102786.14",16,1185,557,0.21,141,345,566,"INTS6"
"1102","ENSG00000102805","ENSG00000102805.14",104,0.2,0.053,2.8,279,2.2,24,"CLN5"
"1103","ENSG00000102871","ENSG00000102871.15",371,2.8,0.37,130,88,0.32,0.58,"TRADD"
"1104","ENSG00000102879","ENSG00000102879.15",178,1324,1004,84,777,1438,541,"CORO1A"
"1105","ENSG00000102893","ENSG00000102893.15",838,892,410,13,72,152,0.55,"PHKB"
"1106","ENSG00000102897","ENSG00000102897.9",430,0.45,263,79,32,1.2,7.4,"LYRM1"
"1107","ENSG00000102898","ENSG00000102898.11",159,1015,825,192,1001,927,2177,"NUTF2"
"1108","ENSG00000102900","ENSG00000102900.12",186,0.05,178,0.14,192,0.13,99,"NUP93"
"1109","ENSG00000102908","ENSG00000102908.20",254,768,668,735,329,643,86,"NFAT5"
"1110","ENSG00000102910","ENSG00000102910.13",4,962,436,41,308,799,1902,"LONP2"
"1111","ENSG00000102921","ENSG00000102921.7",488,699,1771,2100,445,333,123,"N4BP1"
"1112","ENSG00000102931","ENSG00000102931.7",726,1.2,158,0.14,287,1277,1.5,"ARL2BP"
"1113","ENSG00000102934","ENSG00000102934.9",14,0.092,0.06,2.3,3.1,2.1,0.056,"PLLP"
"1114","ENSG00000102962","ENSG00000102962.4",84,33,235,85,267,833,0.032,"CCL22"
"1115","ENSG00000102974","ENSG00000102974.14",278,170,514,392,705,1048,0.94,"CTCF"
"1116","ENSG00000102978","ENSG00000102978.12",217,142,237,9.9,205,41,0.32,"POLR2C"
"1117","ENSG00000103018","ENSG00000103018.16",1167,121,189,15,539,69,1306,"CYB5B"
"1118","ENSG00000103024","ENSG00000103024.7",120,0.05,0.19,1.4,48,53,0.45,"NME3"
"1119","ENSG00000103035","ENSG00000103035.10",1128,1674,1463,763,1224,1561,1447,"PSMD7"
"1120","ENSG00000103037","ENSG00000103037.11",1,524,13,25,103,2.1,1.2,"SETD6"
"1121","ENSG00000103047","ENSG00000103047.7",364,0.05,5.1,139,203,0.48,0.032,"TANGO6"
"1122","ENSG00000103061","ENSG00000103061.12",16,4,6,25,249,434,703,"SLC7A6OS"
"1123","ENSG00000103091","ENSG00000103091.14",361,0.1,334,18,78,19,5.6,"WDR59"
"1124","ENSG00000103111","ENSG00000103111.14",0.66,0.35,421,0.1,189,0.065,0.35,"MON1B"
"1125","ENSG00000103121","ENSG00000103121.8",693,277,2634,595,1681,2381,1259,"CMC2"
"1126","ENSG00000103187","ENSG00000103187.7",2165,5661,4147,1646,2654,3051,2706,"COTL1"
"1127","ENSG00000103194","ENSG00000103194.15",614,1536,1749,705,1457,924,164,"USP10"
"1128","ENSG00000103197","ENSG00000103197.16",0.13,0.2,53,40,80,968,0.16,"TSC2"
