"","ensembl_gene_id","chromosome_name","hgnc_symbol","hgnc_id"
"331","ENSG00000072310","17","SREBF1","HGNC:11289"
"332","ENSG00000072501","X","SMC1A","HGNC:11111"
"333","ENSG00000072518","11","MARK2","HGNC:3332"
"334","ENSG00000072571","5","HMMR","HGNC:5012"
"335","ENSG00000072736","16","NFATC3","HGNC:7777"
"336","ENSG00000072756","3","TRNT1","HGNC:17341"
"337","ENSG00000072786","5","STK10","HGNC:11388"
"338","ENSG00000072803","5","FBXW11","HGNC:13607"
"339","ENSG00000072849","17","DERL2","HGNC:17943"
"340","ENSG00000072858","3","SIDT1","HGNC:25967"
"341","ENSG00000072958","19","AP1M1","HGNC:13667"
"342","ENSG00000073614","12","KDM5A","HGNC:9886"
"343","ENSG00000073803","3","MAP3K13","HGNC:6852"
"344","ENSG00000073921","11","PICALM","HGNC:15514"
"345","ENSG00000073969","17","NSF","HGNC:8016"
"346","ENSG00000074054","2","CLASP1","HGNC:17088"
"347","ENSG00000074201","11","CLNS1A","HGNC:2080"
"348","ENSG00000074266","11","EED","HGNC:3188"
"349","ENSG00000074319","11","TSG101","HGNC:15971"
"350","ENSG00000074370","17","ATP2A3","HGNC:813"
"351","ENSG00000074603","15","DPP8","HGNC:16490"
"352","ENSG00000074755","17","ZZEF1","HGNC:29027"
"353","ENSG00000074842","19","MYDGF","HGNC:16948"
"354","ENSG00000075131","15","TIPIN","HGNC:30750"
"355","ENSG00000075151","1","EIF4G3","HGNC:3298"
"356","ENSG00000075188","12","NUP37","HGNC:29929"
"357","ENSG00000075239","11","ACAT1","HGNC:93"
"358","ENSG00000075407","10","ZNF37A","HGNC:13102"
"359","ENSG00000075420","3","FNDC3B","HGNC:24670"
"360","ENSG00000075568","2","TMEM131","HGNC:30366"
"361","ENSG00000075785","3","RAB7A","HGNC:9788"
"362","ENSG00000075856","12","SART3","HGNC:16860"
"363","ENSG00000075914","3","EXOSC7","HGNC:28112"
"364","ENSG00000075975","3","MKRN2","HGNC:7113"
"365","ENSG00000076003","2","MCM6","HGNC:6949"
"366","ENSG00000076053","11","RBM7","HGNC:9904"
"367","ENSG00000076108","12","BAZ2A","HGNC:962"
"368","ENSG00000076242","3","MLH1","HGNC:7127"
"369","ENSG00000076554","8","TPD52","HGNC:12005"
"370","ENSG00000076685","10","NT5C2","HGNC:8022"
"371","ENSG00000076706","11","MCAM","HGNC:6934"
"372","ENSG00000076928","19","ARHGEF1","HGNC:681"
"373","ENSG00000076944","19","STXBP2","HGNC:11445"
"374","ENSG00000076984","19","MAP2K7","HGNC:6847"
"375","ENSG00000077044","2","DGKD","HGNC:2851"
"376","ENSG00000077147","10","TM9SF3","HGNC:21529"
"377","ENSG00000077150","10","NFKB2","HGNC:7795"
"378","ENSG00000077235","16","GTF3C1","HGNC:4664"
"379","ENSG00000077238","16","IL4R","HGNC:6015"
"380","ENSG00000077254","1","USP33","HGNC:20059"
"381","ENSG00000077420","10","APBB1IP","HGNC:17379"
"382","ENSG00000077454","7","LRCH4","HGNC:6691"
"383","ENSG00000077458","11","FAM76B","HGNC:28492"
"384","ENSG00000077684","4","JADE1","HGNC:30027"
"385","ENSG00000078043","18","PIAS2","HGNC:17311"
"386","ENSG00000078061","X","ARAF","HGNC:646"
"387","ENSG00000078081","3","LAMP3","HGNC:14582"
"388","ENSG00000078177","4","N4BP2","HGNC:29851"
"389","ENSG00000078589","X","P2RY10","HGNC:19906"
"390","ENSG00000078596","X","ITM2A","HGNC:6173"
"391","ENSG00000078618","1","NRDC","HGNC:7995"
"392","ENSG00000078674","8","PCM1","HGNC:8727"
"393","ENSG00000078699","20","CBFA2T2","HGNC:1536"
"394","ENSG00000078804","20","TP53INP2","HGNC:16104"
"395","ENSG00000078808","1","SDF4","HGNC:24188"
"396","ENSG00000079134","18","THOC1","HGNC:19070"
"397","ENSG00000079257","3","LXN","HGNC:13347"
"398","ENSG00000079277","1","MKNK1","HGNC:7110"
"399","ENSG00000079335","1","CDC14A","HGNC:1718"
"400","ENSG00000079691","6","CARMIL1","HGNC:21581"
"401","ENSG00000079739","1","PGM1","HGNC:8905"
"402","ENSG00000079805","19","DNM2","HGNC:2974"
"403","ENSG00000080189","20","SLC35C2","HGNC:17117"
"404","ENSG00000080371","12","RAB21","HGNC:18263"
"405","ENSG00000080503","9","SMARCA2","HGNC:11098"
"406","ENSG00000080603","16","SRCAP","HGNC:16974"
"407","ENSG00000080819","3","CPOX","HGNC:2321"
"408","ENSG00000080839","20","RBL1","HGNC:9893"
"409","ENSG00000081014","15","AP4E1","HGNC:573"
"410","ENSG00000081059","5","TCF7","HGNC:11639"
"411","ENSG00000081087","6","OSTM1","HGNC:21652"
"412","ENSG00000081181","14","ARG2","HGNC:664"
"413","ENSG00000081307","3","UBA5","HGNC:23230"
"414","ENSG00000081692","1","JMJD4","HGNC:25724"
"415","ENSG00000081791","5","DELE1","HGNC:28969"
"416","ENSG00000081913","18","PHLPP1","HGNC:20610"
"417","ENSG00000082068","5","WDR70","HGNC:25495"
"418","ENSG00000082258","2","CCNT2","HGNC:1600"
"419","ENSG00000082269","6","FAM135A","HGNC:21084"
"420","ENSG00000082516","5","GEMIN5","HGNC:20043"
"421","ENSG00000082701","3","GSK3B","HGNC:4617"
"422","ENSG00000082996","3","RNF13","HGNC:10057"
"423","ENSG00000083093","16","PALB2","HGNC:26144"
"424","ENSG00000083099","6","LYRM2","HGNC:25229"
"425","ENSG00000083123","6","BCKDHB","HGNC:987"
"426","ENSG00000083312","5","TNPO1","HGNC:6401"
"427","ENSG00000083544","13","TDRD3","HGNC:20612"
"428","ENSG00000083828","19","ZNF586","HGNC:25949"
"429","ENSG00000083844","19","ZNF264","HGNC:13057"
"430","ENSG00000084073","1","ZMPSTE24","HGNC:12877"
"431","ENSG00000084092","4","NOA1","HGNC:28473"
"432","ENSG00000084093","4","REST","HGNC:9966"
"433","ENSG00000084234","11","APLP2","HGNC:598"
"434","ENSG00000084463","12","WBP11","HGNC:16461"
"435","ENSG00000084623","1","EIF3I","HGNC:3272"
"436","ENSG00000084652","1","TXLNA","HGNC:30685"
"437","ENSG00000084733","2","RAB10","HGNC:9759"
"438","ENSG00000084754","2","HADHA","HGNC:4801"
"439","ENSG00000085117","11","CD82","HGNC:6210"
"440","ENSG00000085274","3","MYNN","HGNC:14955"
"441","ENSG00000085365","5","SCAMP1","HGNC:10563"
"442","ENSG00000085377","6","PREP","HGNC:9358"
"443","ENSG00000085415","18","SEH1L","HGNC:30379"
"444","ENSG00000085433","1","WDR47","HGNC:29141"
"445","ENSG00000085449","2","WDFY1","HGNC:20451"
"446","ENSG00000085491","1","SLC25A24","HGNC:20662"
"447","ENSG00000085662","7","AKR1B1","HGNC:381"
"448","ENSG00000085721","16","RRN3","HGNC:30346"
"449","ENSG00000085788","8","DDHD2","HGNC:29106"
"450","ENSG00000085832","1","EPS15","HGNC:3419"
"451","ENSG00000085872","19","CHERP","HGNC:16930"
"452","ENSG00000086065","9","CHMP5","HGNC:26942"
"453","ENSG00000086189","5","DIMT1","HGNC:30217"
"454","ENSG00000086300","7","SNX10","HGNC:14974"
"455","ENSG00000086475","10","SEPHS1","HGNC:19685"
"456","ENSG00000086619","1","ERO1B","HGNC:14355"
"457","ENSG00000086730","7","LAT2","HGNC:12749"
"458","ENSG00000087074","19","PPP1R15A","HGNC:14375"
"459","ENSG00000087111","17","PIGS","HGNC:14937"
"460","ENSG00000087206","5","UIMC1","HGNC:30298"
"461","ENSG00000087263","16","OGFOD1","HGNC:25585"
"462","ENSG00000087269","4","NOP14","HGNC:16821"
"463","ENSG00000087301","14","TXNDC16","HGNC:19965"
"464","ENSG00000087302","14","RTRAF","HGNC:23169"
"465","ENSG00000087338","2","GMCL1","HGNC:23843"
"466","ENSG00000087502","12","ERGIC2","HGNC:30208"
"467","ENSG00000087995","17","METTL2A","HGNC:25755"
"468","ENSG00000088179","2","PTPN4","HGNC:9656"
"469","ENSG00000088247","19","KHSRP","HGNC:6316"
"470","ENSG00000088451","13","TGDS","HGNC:20324"
"471","ENSG00000088682","16","COQ9","HGNC:25302"
"472","ENSG00000088727","3","KIF9","HGNC:16666"
"473","ENSG00000088832","20","FKBP1A","HGNC:3711"
"474","ENSG00000088970","20","KIZ","HGNC:15865"
"475","ENSG00000088992","12","TESC","HGNC:26065"
"476","ENSG00000089006","20","SNX5","HGNC:14969"
"477","ENSG00000089022","12","MAPKAPK5","HGNC:6889"
"478","ENSG00000089060","12","SLC8B1","HGNC:26175"
"479","ENSG00000089123","20","TASP1","HGNC:15859"
"480","ENSG00000089127","12","OAS1","HGNC:8086"
"481","ENSG00000089154","12","GCN1","HGNC:4199"
